,ID,ra,dec
1785,J085118.21+260313.6,132.82587,26.053778
1786,J095503.80+323659.5,148.76582,32.616516
1787,J161534.14+210019.7,243.89223,21.005476
1788,J162932.18+201948.5,247.38409,20.330126
1789,J111300.70+325330.4,168.2529,32.891777
1791,J111347.33+340825.4,168.4472,34.140392
1792,J112203.14+342321.2,170.51309,34.389236
1793,J112432.54+343204.2,171.13559,34.534496
1794,J111518.27+350213.2,168.82611,35.037006
1795,J113348.17+332744.3,173.4507,33.462296
1796,J133655.41+323113.0,204.23088,32.52029
1797,J133844.99+322214.2,204.68745,32.370625
1799,J120846.69+342251.1,182.19455,34.380859
1800,J114748.22+344101.8,176.9509,34.683823
1801,J133525.41+332641.6,203.85587,33.444893
1802,J134932.74+325352.1,207.38643,32.897812
1803,J115131.47+350501.2,177.88112,35.083668
1804,J133159.53+340356.8,202.99806,34.065765
1805,J121749.32+354450.4,184.45549,35.747322
1806,J115331.86+360024.3,178.38277,36.006741
1807,J120438.25+360325.7,181.15939,36.057137
1808,J122941.61+361153.1,187.42339,36.198078
1809,J130256.62+354005.8,195.73592,35.668282
1810,J132545.89+350627.3,201.44122,35.107574
1811,J092329.80+254609.7,140.87415,25.769352
1812,J100537.15+291654.5,151.4048,29.281818
1813,J101918.98+303333.4,154.8291,30.559282
1814,J082044.85+192144.0,125.18686,19.362213
1817,J091347.02+260451.3,138.44592,26.080908
